RunNumber,Livetime
7484,21585.2
7486,21583.3
7487,10422.7
7488,21589.4
7489,21587.5
7490,21585.2
7492,21586.6
7493,21581.4
7494,21584.0
7495,21424.0
7500,12351.7
7503,21576.6
7504,21584.9
7505,21590.6
7507,21584.1
7508,12142.5
7509,21588.0
7510,21588.9
7512,21581.2
7513,21586.9
7514,21574.5
7515,22399.6
7516,21579.2
7517,23894.6
7518,31184.9
7521,21585.1
7522,6879.42
7527,21583.8
7528,14312.4
7529,21588.8
7532,21586.9
7533,21579.1
7535,21587.4
7536,21589.3
7538,11655.1
7539,21589.8
7540,21585.6
7541,21585.9
7543,21577.2
7544,21581.4
7545,21584.5
7546,21584.5
7548,21576.3
7549,21586.4
7550,21588.9
7551,27513.2
7552,21587.5
7553,21591.0
7554,21578.7
7556,21585.6
7558,13748.1
7560,6213.68
7561,21585.2
7562,3278.51
7563,21582.5
7565,21585.1
7567,20303.3
7571,21577.8
7572,15787.4
7578,21588.3
